raw data,unmodified,oxidized (0.5 hr),oxidized (1 hr),oxidized (2 hr),oxidized (4 hr),cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
wavenumber (cm-1),intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity
1793,-0.0035679,0.107691416,-0.013388095,0.00843582,0.14185411,0.03688732,0.152026942,0.17008598,0.087707
1795,-0.005891,0.098160011,-0.020950155,-0.0339474,0.12699832,0.04175342,0.187880018,0.12145789,0.07650321
1797,-0.0041226,0.09461855,-0.051370133,-0.0111118,0.09325923,0.07450538,0.210482869,0.0852324,0.07350876
1799,0.02931527,0.093799891,-0.03912634,0.03127895,0.09278828,0.03117688,0.176867107,0.13980912,0.05325934
,,,,,,,,,
Normalized data,unmodified,oxidized (0.5 hr),oxidized (1 hr),oxidized (2 hr),oxidized (4 hr),cationic (0.5 hr),cationic (1 hr),cationic (2 hr),cationic (4 hr)
wavenumber (cm-1),intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity
1501,38.6141203,21.85553428,36.08577994,27.19383078,41.91268363,29.79089213,21.5942603,21.24254325,24.66722144
1503,41.75533948,21.74506723,25.31868723,30.68718481,35.17729607,28.38129293,19.45294287,18.1270112,21.34160354
1505,36.10202359,19.57933092,28.09646471,40.82089193,20.54933003,26.24613676,17.92731599,15.8786384,19.00204219
1507,16.6684383,21.31618169,43.92450135,32.6857048,9.974613616,20.373092,15.50522689,15.5619924,12.95896558
1509,22.96778954,19.78305276,43.7104794,20.93397368,16.06750156,15.31629464,11.38640333,15.44407871,12.78078735
1511,31.3367422,17.7235699,33.85117382,16.71924678,20.85466832,15.21611398,11.43014713,15.17501639,12.73707724
1513,38.46648349,17.50246295,25.68909932,16.10865267,26.84184562,16.55919248,12.15950143,13.47809887,13.79751176
1515,33.13620542,16.00452831,23.76474342,22.84063365,28.41533548,13.89039075,11.12012552,12.66776375,12.47867811
1517,31.91421673,15.3525386,29.22951412,17.25995782,30.32604081,15.76691347,11.2147138,11.75259603,11.42924092
1519,28.55209227,16.29658239,10.41413597,9.970822846,29.66498366,14.2089092,10.20949416,10.98101157,10.57716627
1521,20.88066024,16.51927246,20.78668622,10.79043218,28.3157998,14.7112617,7.362092151,10.03821886,10.07712435
1523,30.07612251,16.77875664,18.36236956,21.87865559,27.38496542,16.68379286,9.613424177,12.50646419,11.95099389
1525,27.57957859,17.00280856,19.87447129,11.88091712,30.54863787,14.39399246,11.64785853,13.47856821,12.14330378
1527,30.29774347,20.52041726,21.48087877,12.22537014,27.44956911,14.14960086,13.82481184,14.22587296,13.86629033
1529,36.40102585,21.70246429,24.231051,18.86893186,23.05804749,15.1996004,14.80365171,15.44135987,15.25917828
1531,35.10800246,21.09104474,35.35266846,19.18866566,18.65877171,15.73270834,13.97338916,15.77716881,16.22295393
1533,38.82135959,21.87924474,32.56793673,19.97487545,18.68923395,17.74192933,14.06703763,16.207729,17.37022447
1535,42.02761697,24.11701495,34.77283068,22.24913021,23.80153134,19.33884378,16.23410699,17.0379968,17.22543616
1537,40.9859941,24.62917063,23.70142633,17.06310665,20.05647881,17.68494613,15.92320861,15.69493411,15.51305428
1539,27.01428139,25.45996355,9.912783794,14.97474253,9.887977575,18.9709387,15.48626365,13.89462492,13.4119394
1541,33.11598215,23.41818459,3.875451471,13.56367488,11.95023158,17.4913383,14.73462558,14.372809,16.11989835
1543,44.56536338,25.57501025,21.94649372,11.73467996,22.22208305,18.12338729,16.72408184,17.21085256,18.68029868
1545,49.7694145,27.75599784,27.26203912,18.42369351,26.90590798,21.51577699,17.77246399,19.55888935,19.63425383
1547,53.67873669,28.59399379,36.16230647,23.72770829,28.16038711,21.46800186,18.73524849,20.38709807,19.77112036
1549,51.5767548,30.24095237,35.79276638,22.36242774,28.32826077,22.04888151,19.34096507,20.59417789,20.06942397
1551,50.81466377,31.83803461,34.49604508,28.89139171,25.80864194,22.56394725,19.4170327,20.81715561,20.30680208
1553,54.09620499,33.6231363,32.30831497,29.5145496,23.85417432,21.92131017,19.08092981,20.52121361,20.23310829
1555,60.94811533,33.89250306,28.64547925,27.44818177,27.44121108,22.15234407,19.44600893,20.74112201,20.19885818
1557,52.03529081,30.57231968,17.25883788,18.77634759,21.50050648,21.32814191,16.6304722,19.62101436,17.89757741
1559,47.5604499,31.58750584,0,12.06957583,7.254523407,24.18084756,15.47121798,19.75370928,19.51795368
1561,59.03522523,41.0198664,29.66647803,31.60352407,27.60235446,25.10040684,20.20717215,21.79538899,21.76385365
1563,63.09882204,43.35259059,39.72922551,33.57744303,32.60160891,23.42365578,20.38836408,21.65365586,21.79809207
1565,66.28142185,46.42571242,41.7491614,39.27182902,34.07476788,23.4382935,20.09702084,21.51718497,21.0704826
1567,65.83693601,47.2936901,45.03697507,41.5445751,32.39851205,23.75000503,19.9191032,20.82845436,20.25026843
1569,62.85663702,50.20075759,40.92121305,40.98992699,35.44205381,24.07570775,20.27445043,20.54902132,20.33541128
1571,68.71269675,56.57122966,48.94223634,43.74720386,39.70220923,24.18011475,20.58701366,20.34481743,20.39127391
1573,73.92549244,59.98086308,47.85393371,43.11557197,40.73764452,23.2695841,19.99679158,19.93430543,20.12047138
